# Note that negative of the value are reported in the case of non-energetical predictions
structure	original_name	md5	score
cluster_1_model_2.pdb	cluster_1_model_2.pdb	None	-0.379
cluster_1_model_4.pdb	cluster_1_model_4.pdb	None	-0.377
cluster_1_model_3.pdb	cluster_1_model_3.pdb	None	-0.372
cluster_4_model_3.pdb	cluster_4_model_3.pdb	None	-0.359
cluster_4_model_4.pdb	cluster_4_model_4.pdb	None	-0.356
cluster_4_model_1.pdb	cluster_4_model_1.pdb	None	-0.353
cluster_4_model_2.pdb	cluster_4_model_2.pdb	None	-0.353
cluster_15_model_1.pdb	cluster_15_model_1.pdb	None	-0.352
cluster_1_model_1.pdb	cluster_1_model_1.pdb	None	-0.303
cluster_3_model_3.pdb	cluster_3_model_3.pdb	None	-0.242
cluster_3_model_2.pdb	cluster_3_model_2.pdb	None	-0.228
cluster_3_model_1.pdb	cluster_3_model_1.pdb	None	-0.224
cluster_15_model_2.pdb	cluster_15_model_2.pdb	None	-0.22
cluster_3_model_4.pdb	cluster_3_model_4.pdb	None	-0.208
cluster_15_model_4.pdb	cluster_15_model_4.pdb	None	-0.152
cluster_6_model_1.pdb	cluster_6_model_1.pdb	None	-0.111
cluster_6_model_2.pdb	cluster_6_model_2.pdb	None	-0.111
cluster_5_model_2.pdb	cluster_5_model_2.pdb	None	-0.104
cluster_6_model_3.pdb	cluster_6_model_3.pdb	None	-0.094
cluster_6_model_4.pdb	cluster_6_model_4.pdb	None	-0.094
cluster_2_model_4.pdb	cluster_2_model_4.pdb	None	-0.086
cluster_2_model_2.pdb	cluster_2_model_2.pdb	None	-0.08
cluster_5_model_3.pdb	cluster_5_model_3.pdb	None	-0.078
cluster_5_model_4.pdb	cluster_5_model_4.pdb	None	-0.078
cluster_2_model_1.pdb	cluster_2_model_1.pdb	None	-0.077
cluster_9_model_2.pdb	cluster_9_model_2.pdb	None	-0.072
cluster_14_model_1.pdb	cluster_14_model_1.pdb	None	-0.064
cluster_14_model_2.pdb	cluster_14_model_2.pdb	None	-0.064
cluster_2_model_3.pdb	cluster_2_model_3.pdb	None	-0.053
cluster_14_model_4.pdb	cluster_14_model_4.pdb	None	-0.052
cluster_14_model_3.pdb	cluster_14_model_3.pdb	None	-0.052
cluster_13_model_3.pdb	cluster_13_model_3.pdb	None	-0.039
cluster_13_model_1.pdb	cluster_13_model_1.pdb	None	-0.038
cluster_7_model_1.pdb	cluster_7_model_1.pdb	None	-0.026
cluster_11_model_1.pdb	cluster_11_model_1.pdb	None	-0.024
cluster_12_model_3.pdb	cluster_12_model_3.pdb	None	-0.011
cluster_12_model_4.pdb	cluster_12_model_4.pdb	None	-0.011
cluster_12_model_2.pdb	cluster_12_model_2.pdb	None	-0.01
cluster_12_model_1.pdb	cluster_12_model_1.pdb	None	-0.01
cluster_7_model_4.pdb	cluster_7_model_4.pdb	None	-0.01
cluster_8_model_2.pdb	cluster_8_model_2.pdb	None	-0.009
cluster_8_model_4.pdb	cluster_8_model_4.pdb	None	-0.009
cluster_7_model_2.pdb	cluster_7_model_2.pdb	None	-0.009
cluster_7_model_3.pdb	cluster_7_model_3.pdb	None	-0.009
cluster_8_model_1.pdb	cluster_8_model_1.pdb	None	-0.009
cluster_15_model_3.pdb	cluster_15_model_3.pdb	None	-0.009
cluster_8_model_3.pdb	cluster_8_model_3.pdb	None	-0.009
cluster_9_model_3.pdb	cluster_9_model_3.pdb	None	-0.009
cluster_10_model_4.pdb	cluster_10_model_4.pdb	None	-0.008
cluster_10_model_2.pdb	cluster_10_model_2.pdb	None	-0.008
cluster_9_model_1.pdb	cluster_9_model_1.pdb	None	-0.008
cluster_10_model_1.pdb	cluster_10_model_1.pdb	None	-0.008
cluster_10_model_3.pdb	cluster_10_model_3.pdb	None	-0.008
cluster_13_model_2.pdb	cluster_13_model_2.pdb	None	-0.008
cluster_13_model_4.pdb	cluster_13_model_4.pdb	None	-0.007
cluster_9_model_4.pdb	cluster_9_model_4.pdb	None	-0.007
cluster_5_model_1.pdb	cluster_5_model_1.pdb	None	-0.007
cluster_11_model_4.pdb	cluster_11_model_4.pdb	None	-0.006
cluster_11_model_2.pdb	cluster_11_model_2.pdb	None	-0.006
cluster_11_model_3.pdb	cluster_11_model_3.pdb	None	-0.005
