model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../4_flexref/flexref_162.pdb	-	1	-128.589	5.296	0.200	12.240	12.259	0.200	40	2	1	34.005	0.000	0.000	931.614	0.000	0.000	0.000	3.841	0.000	-86.139	0.000	0.000	0.000	0.000	-92.509	-40.375	0.000	0.000
../4_flexref/flexref_186.pdb	-	2	-128.386	2.692	0.533	6.361	6.390	0.470	11	1	1	0.108	0.000	0.000	934.700	0.000	0.000	0.000	-0.797	0.000	-73.027	0.000	0.000	0.000	0.000	-118.144	-45.225	0.000	0.000
../4_flexref/flexref_36.pdb	-	3	-118.398	3.129	0.467	7.611	7.584	0.403	11	1	2	0.008	0.000	0.000	876.297	0.000	0.000	0.000	3.641	0.000	-69.957	0.000	0.000	0.000	0.000	-113.269	-43.320	0.000	0.000
../4_flexref/flexref_151.pdb	-	4	-112.756	5.352	0.100	12.394	12.399	0.164	45	5	1	0.050	0.000	0.000	822.513	0.000	0.000	0.000	2.021	0.000	-75.555	0.000	0.000	0.000	0.000	-106.507	-31.002	0.000	0.000
../4_flexref/flexref_141.pdb	-	5	-112.731	2.586	0.567	6.037	6.050	0.494	11	1	3	0.610	0.000	0.000	958.003	0.000	0.000	0.000	-3.333	0.000	-54.823	0.000	0.000	0.000	0.000	-99.269	-45.056	0.000	0.000
../4_flexref/flexref_167.pdb	-	6	-110.381	5.295	0.167	12.233	12.249	0.189	40	2	2	20.435	0.000	0.000	880.750	0.000	0.000	0.000	-1.044	0.000	-65.063	0.000	0.000	0.000	0.000	-82.137	-37.509	0.000	0.000
../4_flexref/flexref_47.pdb	-	7	-109.408	6.105	0.333	14.649	14.666	0.214	31	8	1	0.132	0.000	0.000	1013.240	0.000	0.000	0.000	-0.095	0.000	-52.372	0.000	0.000	0.000	0.000	-99.062	-46.822	0.000	0.000
../4_flexref/flexref_121.pdb	-	8	-108.869	5.236	0.200	12.144	12.156	0.202	45	5	2	3.681	0.000	0.000	816.538	0.000	0.000	0.000	0.298	0.000	-77.238	0.000	0.000	0.000	0.000	-97.688	-24.132	0.000	0.000
../4_flexref/flexref_11.pdb	-	9	-107.080	5.556	0.167	12.897	12.899	0.179	23	4	1	1.842	0.000	0.000	1149.450	0.000	0.000	0.000	-2.130	0.000	-43.752	0.000	0.000	0.000	0.000	-91.797	-49.887	0.000	0.000
../4_flexref/flexref_154.pdb	-	10	-106.255	5.454	0.133	12.560	12.566	0.173	40	2	3	9.972	0.000	0.000	963.311	0.000	0.000	0.000	1.770	0.000	-62.265	0.000	0.000	0.000	0.000	-89.417	-37.124	0.000	0.000
../4_flexref/flexref_133.pdb	-	11	-105.737	2.676	0.533	6.319	6.313	0.472	11	1	4	0.130	0.000	0.000	914.078	0.000	0.000	0.000	-3.706	0.000	-49.208	0.000	0.000	0.000	0.000	-92.773	-43.695	0.000	0.000
../4_flexref/flexref_83.pdb	-	12	-104.928	5.006	0.167	11.721	11.722	0.198	46	6	1	0.112	0.000	0.000	791.684	0.000	0.000	0.000	-1.283	0.000	-67.149	0.000	0.000	0.000	0.000	-95.628	-28.591	0.000	0.000
../4_flexref/flexref_110.pdb	-	13	-104.836	5.469	0.200	12.685	12.681	0.193	37	7	1	7.520	0.000	0.000	904.714	0.000	0.000	0.000	-3.255	0.000	-56.229	0.000	0.000	0.000	0.000	-85.766	-37.057	0.000	0.000
../4_flexref/flexref_176.pdb	-	14	-104.791	5.339	0.167	12.329	12.343	0.187	40	2	4	1.793	0.000	0.000	863.730	0.000	0.000	0.000	-0.838	0.000	-52.443	0.000	0.000	0.000	0.000	-93.701	-43.051	0.000	0.000
../4_flexref/flexref_189.pdb	-	15	-104.638	2.553	0.567	5.902	5.905	0.499	12	3	1	0.905	0.000	0.000	929.965	0.000	0.000	0.000	-5.723	0.000	-47.366	0.000	0.000	0.000	0.000	-88.800	-42.339	0.000	0.000
../4_flexref/flexref_92.pdb	-	16	-104.201	5.099	0.133	11.868	11.873	0.184	46	6	2	2.356	0.000	0.000	717.936	0.000	0.000	0.000	-2.164	0.000	-63.843	0.000	0.000	0.000	0.000	-92.738	-31.250	0.000	0.000
../4_flexref/flexref_116.pdb	-	17	-103.948	5.526	0.200	12.934	12.937	0.190	23	4	2	1.038	0.000	0.000	1105.470	0.000	0.000	0.000	0.724	0.000	-50.071	0.000	0.000	0.000	0.000	-92.683	-43.650	0.000	0.000
../4_flexref/flexref_40.pdb	-	18	-103.833	5.348	0.233	12.405	12.413	0.209	40	2	5	0.924	0.000	0.000	928.830	0.000	0.000	0.000	-2.023	0.000	-46.639	0.000	0.000	0.000	0.000	-91.690	-45.975	0.000	0.000
../4_flexref/flexref_137.pdb	-	19	-102.497	2.713	0.533	6.332	6.366	0.470	12	3	2	6.062	0.000	0.000	883.790	0.000	0.000	0.000	-4.130	0.000	-51.981	0.000	0.000	0.000	0.000	-84.074	-38.155	0.000	0.000
../4_flexref/flexref_146.pdb	-	20	-101.619	3.035	0.467	7.332	7.327	0.412	11	1	5	2.435	0.000	0.000	866.446	0.000	0.000	0.000	-0.342	0.000	-57.068	0.000	0.000	0.000	0.000	-90.420	-35.788	0.000	0.000
../4_flexref/flexref_181.pdb	-	21	-101.600	2.692	0.533	6.278	6.275	0.472	12	3	3	0.718	0.000	0.000	925.414	0.000	0.000	0.000	-6.436	0.000	-45.289	0.000	0.000	0.000	0.000	-85.263	-40.692	0.000	0.000
../4_flexref/flexref_139.pdb	-	22	-101.268	2.650	0.500	6.184	6.184	0.465	12	3	4	4.810	0.000	0.000	946.018	0.000	0.000	0.000	-5.007	0.000	-47.376	0.000	0.000	0.000	0.000	-82.471	-39.906	0.000	0.000
../4_flexref/flexref_84.pdb	-	23	-99.804	2.970	0.467	7.106	7.110	0.420	11	1	6	1.246	0.000	0.000	873.158	0.000	0.000	0.000	2.725	0.000	-49.953	0.000	0.000	0.000	0.000	-92.676	-43.969	0.000	0.000
../4_flexref/flexref_107.pdb	-	24	-99.739	5.514	0.167	12.873	12.888	0.180	23	4	3	1.804	0.000	0.000	1081.840	0.000	0.000	0.000	-0.649	0.000	-48.338	0.000	0.000	0.000	0.000	-86.648	-40.114	0.000	0.000
../4_flexref/flexref_96.pdb	-	25	-99.676	4.975	0.133	11.669	11.671	0.188	46	6	3	2.097	0.000	0.000	758.210	0.000	0.000	0.000	-1.077	0.000	-62.830	0.000	0.000	0.000	0.000	-89.129	-28.395	0.000	0.000
../4_flexref/flexref_173.pdb	-	26	-99.617	2.605	0.567	6.045	6.073	0.493	12	3	5	0.108	0.000	0.000	965.745	0.000	0.000	0.000	-5.822	0.000	-38.677	0.000	0.000	0.000	0.000	-84.040	-45.471	0.000	0.000
../4_flexref/flexref_64.pdb	-	27	-98.714	5.471	0.167	12.716	12.688	0.182	23	4	4	3.881	0.000	0.000	1100.820	0.000	0.000	0.000	-0.368	0.000	-46.993	0.000	0.000	0.000	0.000	-83.844	-40.733	0.000	0.000
../4_flexref/flexref_159.pdb	-	28	-98.266	3.163	0.467	7.635	7.640	0.401	11	1	7	0.637	0.000	0.000	832.077	0.000	0.000	0.000	0.376	0.000	-54.823	0.000	0.000	0.000	0.000	-89.749	-35.563	0.000	0.000
../4_flexref/flexref_43.pdb	-	29	-97.681	5.487	0.200	12.836	12.793	0.191	23	4	5	5.124	0.000	0.000	1087.450	0.000	0.000	0.000	-2.470	0.000	-45.336	0.000	0.000	0.000	0.000	-79.725	-39.512	0.000	0.000
../4_flexref/flexref_93.pdb	-	30	-97.514	4.982	0.133	11.682	11.675	0.188	46	6	4	2.272	0.000	0.000	779.939	0.000	0.000	0.000	-0.500	0.000	-63.013	0.000	0.000	0.000	0.000	-87.169	-26.428	0.000	0.000
../4_flexref/flexref_75.pdb	-	31	-96.906	5.448	0.200	12.571	12.564	0.195	37	7	2	17.593	0.000	0.000	879.993	0.000	0.000	0.000	-1.677	0.000	-42.695	0.000	0.000	0.000	0.000	-70.596	-45.494	0.000	0.000
../4_flexref/flexref_52.pdb	-	32	-96.832	5.471	0.200	12.671	12.675	0.193	37	7	3	6.822	0.000	0.000	885.351	0.000	0.000	0.000	-3.346	0.000	-48.293	0.000	0.000	0.000	0.000	-78.493	-37.022	0.000	0.000
../4_flexref/flexref_180.pdb	-	33	-96.359	5.248	0.100	12.213	12.219	0.167	45	5	3	17.333	0.000	0.000	818.125	0.000	0.000	0.000	0.344	0.000	-57.109	0.000	0.000	0.000	0.000	-72.921	-33.145	0.000	0.000
../4_flexref/flexref_113.pdb	-	34	-95.760	4.936	0.167	11.529	11.543	0.201	46	6	5	1.659	0.000	0.000	796.935	0.000	0.000	0.000	-0.931	0.000	-54.971	0.000	0.000	0.000	0.000	-85.366	-32.054	0.000	0.000
../4_flexref/flexref_178.pdb	-	35	-95.696	2.642	0.567	6.146	6.140	0.489	12	3	6	13.286	0.000	0.000	935.814	0.000	0.000	0.000	-5.490	0.000	-39.035	0.000	0.000	0.000	0.000	-68.890	-43.142	0.000	0.000
../4_flexref/flexref_130.pdb	-	36	-95.466	3.182	0.433	7.620	7.617	0.390	11	1	8	4.134	0.000	0.000	782.299	0.000	0.000	0.000	-1.008	0.000	-51.237	0.000	0.000	0.000	0.000	-82.914	-35.812	0.000	0.000
../4_flexref/flexref_35.pdb	-	37	-95.300	6.019	0.267	14.399	14.416	0.195	31	8	2	0.885	0.000	0.000	1041.080	0.000	0.000	0.000	-0.141	0.000	-41.913	0.000	0.000	0.000	0.000	-83.952	-42.925	0.000	0.000
../4_flexref/flexref_32.pdb	-	38	-95.072	2.515	0.567	5.817	5.818	0.503	12	3	7	0.531	0.000	0.000	941.374	0.000	0.000	0.000	-4.088	0.000	-40.352	0.000	0.000	0.000	0.000	-81.093	-41.271	0.000	0.000
../4_flexref/flexref_192.pdb	-	39	-94.984	2.920	0.500	6.893	6.868	0.437	12	3	8	0.859	0.000	0.000	892.995	0.000	0.000	0.000	-3.517	0.000	-43.597	0.000	0.000	0.000	0.000	-81.764	-39.026	0.000	0.000
../4_flexref/flexref_17.pdb	-	40	-94.873	5.870	0.300	13.983	13.983	0.210	31	8	3	0.000	0.000	0.000	1023.680	0.000	0.000	0.000	-1.257	0.000	-34.811	0.000	0.000	0.000	0.000	-83.379	-48.568	0.000	0.000
../4_flexref/flexref_191.pdb	-	41	-94.450	5.526	0.233	12.843	12.833	0.202	36	9	1	9.462	0.000	0.000	834.264	0.000	0.000	0.000	-1.720	0.000	-48.214	0.000	0.000	0.000	0.000	-75.871	-37.119	0.000	0.000
../4_flexref/flexref_31.pdb	-	42	-93.836	5.301	0.167	12.209	12.216	0.189	40	2	6	31.423	0.000	0.000	907.619	0.000	0.000	0.000	0.518	0.000	-46.949	0.000	0.000	0.000	0.000	-56.998	-41.471	0.000	0.000
